NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,TOTAL_PROPERTY,PROP_FREIGHT,PROP_BAG,TOTAL_CHARTER,CHARTER_PAX,CHARTER_PROP,TOTAL_MISC_REV,RES_CANCEL_FEES,MISC_OP_REV,PUB_SVC_REVENUE,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,PROMOTION_SALES,GENERAL_ADMIN,GENERAL_SERVICES,DEPREC_AMORT,TRANS_EXPENSES,OP_EXPENSES,INTEREST_LONG_DEBT,INTEREST_EXP_OTH,FOREIGN_EX_GAINS,CAP_GAINS_PROP,CAP_GAINS_OTHER,OTHER_INCOME_NET,NON_OP_INCOME,INCOME_PRE_TAX,INCOME_TAX,INCOME_BEFORE_OTH,DISCONT_OPS,EXTRA_ITEMS,INCOME_TAX_EXTRA,INCOME_TAX_CREDITS,ACCTG_CHANGES,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER,YearQuarter,YearQuarter_UniqueCarrierName,SGeneral_Admin,Mail,FUEL RATE,FUEL_EXP,FUEL_EXP/PAX ( in cents)
-90506.64,-97896.7,608244.59,0,,0,223586.77,,0,0,,25230.28,316621.4,0,1970.29,1175653.34,715611.16,71797.46,60194.01,97350.51,41823.24,218843.15,0,67930.5,0,1273550.03,0,-25007.16,-340.88,0,0,-130.65,-25478.7,-123375.39,-32868.75,-90506.64,0,0,0,,0,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,6830,D,3,3,2023,1,20231,20231Spirit Air Lines,218843.15,0,3.43,487.711,4.606388843
-13404.54,-14499.05,90084.45,0,,0,33114.46,,0,0,,3736.75,46893.41,0,291.81,174120.87,105986.04,10633.61,8915.07,14418.16,6194.26,32411.9,0,10060.89,0,188619.93,0,-3703.7,-50.49,0,0,-19.35,-3773.54,-18272.59,-4868.05,-13404.54,0,0,0,,0,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,3,3,2023,1,20231,20231Spirit Air Lines,218843.15,0,3.43,487.711,4.606388843
-153850,-274205,4697111,587,,38321,15128,,5787,0,,,714492,0,33340,5504766,2457115,476430,435702,1066407,272711,685707,,351998,32901,5778971,-61202,3871,-1099,0,,135485,77055,-197150,-43300,-153850,0,0,0,-153850,0,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,6725,D,3,3,2023,1,20231,20231Southwest Airlines Co.,685707,587,3.33,1547,5.971378454
-5624,-10024,171729,21,,1401,553,,212,0,,,26122,0,1219,201257,89833,17419,15930,38988,9971,25069,,12868,1203,211281,-2238,142,-40,0,,4953,2817,-7207,-1583,-5624,0,0,0,-5624,0,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,11033,L,3,3,2023,1,20231,20231Southwest Airlines Co.,685707,587,3.33,1547,5.971378454
-185853,437900,5914695,9697,,60430,172908,,77822,85,,21885,1021000,0,2275199,9553721,2643680,762432,806149,1367143,619347,614494,,417609,1884967,9115821,-186331,-12578,-9277,20193,0,-538496,-726489,-288589,-102736,-185853,0,0,0,,0,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,1260,D,3,3,2023,1,20231,20231Delta Air Lines Inc.,614494,9697,3.01,2676,7.522243113
-123079,-12145,1137211,8075,,89154,17986,,4090,15,,3056,221838,0,8494,1489919,682242,127896,145538,246816,111813,110937,,69784,7038,1502064,-33639,-2271,0,3646,0,-97217,-129481,-141626,-18547,-123079,0,0,0,,0,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10261,A,3,3,2023,1,20231,20231Delta Air Lines Inc.,614494,9697,3.01,2676,7.522243113
-5983,33387,412208,-266,,25493,3487,,0,5,,455,78611,0,16850,536843,213434,37525,51651,87594,39682,39371,,20239,13960,503456,-11938,-806,0,1294,0,-34502,-45952,-12565,-6582,-5983,0,0,0,,0,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10262,P,3,3,2023,1,20231,20231Delta Air Lines Inc.,614494,9697,3.01,2676,7.522243113
42086,130143,929796,0,,16337,31874,,444,12,,4433,174663,0,50863,1208422,387329,103832,115524,195917,88756,88059,,56722,42140,1078279,-26702,-1802,0,2894,0,-77169,-102779,27364,-14722,42086,0,0,0,,0,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10260,L,3,3,2023,1,20231,20231Delta Air Lines Inc.,614494,9697,3.01,2676,7.522243113
-294047.62,-294047.62,895106.59,7515.7,,124382.84,8503.14,,0,0,,676.67,106397.22,0,26851.17,1169433.32,630708.76,185401.09,119344.43,179890.88,73398.78,201394.12,0,68239.18,5103.7,1463480.94,0,0,0,0,0,0,0,-294047.62,0,-294047.62,0,0,0,,0,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10049,A,3,3,2023,1,20231,20231American Airlines Inc.,929734.77,1510.89,3.28,3167,8.317576249
-25732.35,-25732.35,211237.52,1080.27,,17770.59,1414.4,,0,0,,160.05,26265.74,0,6640.9,264569.46,118500.3,38259.85,24615.25,37116.91,15123.68,41547.69,0,14084.2,1053.94,290301.81,0,0,0,0,0,0,0,-25732.35,0,-25732.35,0,0,0,,0,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10052,P,3,3,2023,1,20231,20231American Airlines Inc.,929734.77,1510.89,3.28,3167,8.317576249
48084.04,402729.51,6145310.24,1510.89,,24597.79,239818.98,,6407.57,0,,6141.43,567053.51,0,1639815.38,8630655.8,2692858.86,856558.2,551371.23,830899.19,338552.36,929734.77,0,315606.92,1712344.77,8227926.29,-514937.07,-34861.18,-7456.84,0,0,232584.84,-324670.25,78059.26,29975.21,48084.04,0,0,0,,0,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,0A050,D,3,3,2023,1,20231,20231American Airlines Inc.,929734.77,1510.89,3.28,3167,8.317576249
356274.83,356274.83,1796986.18,2650.77,,43205.58,75559.49,,0,0,,1459.06,162274.63,0,41052.76,2123188.47,724108.45,232287.73,149390.72,225302.19,91657.3,252206.5,0,85558.72,6402.02,1766913.64,0,0,0,0,0,0,0,356274.83,0,356274.83,0,0,0,,0,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10050,L,3,3,2023,1,20231,20231American Airlines Inc.,929734.77,1510.89,3.28,3167,8.317576249
-258801.65,-234102.19,5015655.46,10224.02,,68087.22,210466.52,,17355.33,,,14135.75,2404.92,,1828354.96,7166684.19,2484740.98,719231.35,487044.72,1439040.96,344306.2,447484.94,,358956.18,1119981.05,7400786.38,-262822.7,120053.7,414.55,,,35918.04,-106436.42,-340538.61,-81736.96,-258801.65,,,,-258801.65,,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3,3,2023,1,20231,20231United Air Lines Inc.,447484.94,10224.02,3.33,3174,10.67814784
-138721.03,-133100.8,1588770.43,7883.09,,164140,18393.12,,,,,3608.64,825.09,,48867.65,1832488.01,885720.21,186443.47,226099.81,270020.51,103863.32,122880.89,,141828.21,28732.39,1965588.81,-110009.45,43817.81,5466.92,,,11130.13,-49594.59,-182695.39,-43974.37,-138721.03,,,,-138721.03,,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10874,A,3,3,2023,1,20231,20231United Air Lines Inc.,447484.94,10224.02,3.33,3174,10.67814784
67685.08,125578.3,949128.41,18599.1,,96662.91,8352.2,,568.46,,,2140.93,453.75,,37682.76,1113588.52,480743.75,74389.5,110489.56,108198.83,61932.4,70964.75,,66399.46,14891.97,988010.22,-65632.05,22600.45,1208.27,,,5312,-36511.33,89066.97,21381.89,67685.08,,,,67685.08,,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10877,P,3,3,2023,1,20231,20231United Air Lines Inc.,447484.94,10224.02,3.33,3174,10.67814784
135770.26,199053.99,1127514.63,804.79,,31355.43,46914.6,,,,,2544.36,523.03,,106609.81,1316266.65,478079.74,108783.59,90260.3,203628.55,58023.69,63507.44,,59232.82,55696.53,1117212.65,-47111.68,21487.51,-125.09,,,5388.9,-20360.37,178693.63,42923.36,135770.26,,,,135770.26,,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10876,L,3,3,2023,1,20231,20231United Air Lines Inc.,447484.94,10224.02,3.33,3174,10.67814784
-1490.21,-1296.51,,,,,,,,,,,,,11920.06,11920.06,7453.09,2458.03,,,,,2860.48,444.96,,13216.56,-193.71,,,,,,-193.71,-1490.21,,-1490.21,,,,,,21754,2PQ,21 Air LLC,2PQ,21 Air LLC,1207,S,1,1,2023,1,20231,2023121 Air LLC,#N/A,#N/A,#N/A,#N/A,#N/A
257.09,437.75,0,,,5562.55,0,,0,4712.35,,0,211.68,0,0,10486.58,4353.03,4113.42,0,90.56,5.58,709.53,,538.48,238.23,10048.83,0,-180.66,0,0,0,0,-180.66,257.09,0,257.09,0,0,0,,0,20453,ABX,ABX Air Inc,ABX,ABX Air Inc,11009,A,2,2,2023,1,20231,20231ABX Air Inc,#N/A,#N/A,#N/A,#N/A,#N/A
1499.03,2552.41,0,,,32433.49,0,,0,27476.23,,0,1234.25,0,0,61143.97,25381.12,23984.06,0,528.03,32.55,4137.02,,3139.73,1389.06,58591.57,0,-1053.38,0,0,0,0,-1053.38,1499.03,0,1499.03,0,0,0,,0,20453,ABX,ABX Air Inc,ABX,ABX Air Inc,80006,D,2,2,2023,1,20231,20231ABX Air Inc,#N/A,#N/A,#N/A,#N/A,#N/A
-3169.42,-2343.5,0,0,,0,0,,0,97473.8,,0,50.84,0,0,97524.64,36608.58,50744.21,0,2927.91,0,5052.81,,4534.63,0,99868.14,0,-825.92,0,0,0,0,-825.92,-3169.42,0,-3169.42,0,0,0,,0,19874,8C,Air Transport International,8C,Air Transport International,6029,D,2,2,2023,1,20231,20231Air Transport International,#N/A,#N/A,#N/A,#N/A,#N/A
6454.62,6518.7,0,0,,0,0,,29297.01,5596.13,,0,-1.74,0,0,34891.4,18922.38,5415.73,2180.74,731.78,0,391.31,,730.76,0,28372.69,0,-64.08,0,0,0,0,-64.08,6454.62,0,6454.62,0,0,0,,0,19874,8C,Air Transport International,8C,Air Transport International,16028,A,2,2,2023,1,20231,20231Air Transport International,#N/A,#N/A,#N/A,#N/A,#N/A
-1855.17,-3850.01,59036.8,0,,0,0,,0,0,,0,0,0,95.02,59131.81,22988.92,25440.2,2481.58,957.77,0,5760.99,0,5350.18,2.19,62981.82,-1.56,0,0,-82.93,375.9,1042.96,1334.37,-2515.63,-660.47,-1855.17,0,0,0,,0,20046,ZW,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,6024,D,2,2,2023,1,20231,20231Air Wisconsin Airlines Corp,#N/A,#N/A,#N/A,#N/A,#N/A
-119569,-121537,1452979,9264,,19740,68918,,4989,241,,46332,33608,2714,428892,2067678,810794,170013,165365,316973,103500,196193,,86258,340119,2189215,-22379,5691,0,-5029,-27895,10374,-39237,-160774,-41205,-119569,0,0,0,,0,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,6031,D,3,3,2023,1,20231,20231Alaska Airlines Inc.,#N/A,#N/A,#N/A,#N/A,#N/A
-18670,-22342,117311,0,,-88,5564,,403,19,,3741,0,0,0,126951,65462,13727,13351,25592,8356,15840,,6964,0,149293,-1807,460,0,0,-2252,838,-2762,-25104,-6434,-18670,0,0,0,,0,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,16031,L,3,3,2023,1,20231,20231Alaska Airlines Inc.,#N/A,#N/A,#N/A,#N/A,#N/A
61400.66,98134.16,483814.85,0,,0,88685.34,,14116.79,0,,28449.3,27822.96,0,6792.78,649682.01,277229.08,47668.53,28809.72,68374.85,28999.63,46332.38,0,54133.67,0,551547.86,-28549.14,0,0,0,0,10084.53,-18464.61,79669.55,18268.88,61400.66,0,,0,0,0,20368,G4,Allegiant Air,G4,Allegiant Air,6035,D,3,3,2023,1,20231,20231Allegiant Air,#N/A,#N/A,#N/A,#N/A,#N/A
-8871.67,-6057.08,0,0,,33096.7,0,,0,33306.5,,0,388.88,0,2454.35,69246.42,43355.69,11077.22,,7467.64,147.71,8051.14,,1987.19,3216.92,75303.5,-2283.05,-259.1,0,0,0,-223.04,-2765.19,-8822.27,49.4,-8871.67,0,0,0,,0,20151,M6,Amerijet International,M6,Amerijet International,6052,D,2,2,2023,1,20231,20231Amerijet International,#N/A,#N/A,#N/A,#N/A,#N/A
-2003.61,570.3,0,476.87,,30266.61,0,,0,30458.47,,0,746.11,0,2244.48,64192.54,34406.26,10130.01,,6829.09,135.08,7362.69,,1817.26,2941.85,63622.24,-2087.83,-236.95,0,0,0,-203.96,-2528.74,-1958.44,45.18,-2003.61,0,0,0,,0,20151,M6,Amerijet International,M6,Amerijet International,16052,L,2,2,2023,1,20231,20231Amerijet International,#N/A,#N/A,#N/A,#N/A,#N/A
-1862.54,-2043.8,,7103,,571.5,,,,321.98,,,,,,7996.47,4615.53,209.1,,2228.96,,1626.61,,1360.08,,10040.28,,,,,,181.27,181.27,-1862.54,,-1862.54,,,,,,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,6070,D,1,1,2023,1,20231,20231Asia Pacific,#N/A,#N/A,#N/A,#N/A,#N/A
-134439.12,-134090.48,0,0,89157.74,89157.74,0,237394.36,30103.74,207290.62,5812.63,0,5812.63,0,0,332364.73,291227.18,56878.63,5775.12,56286.01,6867.58,29042.88,,20307.12,70.71,466455.21,447.03,0,-102.66,-0.76,0,-181.76,161.85,-133928.63,510.49,-134439.12,0,0,0,-134439.12,0,20007,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,6087,D,3,3,2023,1,20231,20231Atlas Air Inc.,#N/A,#N/A,#N/A,#N/A,#N/A
96798.77,97517.01,0,0,183676.23,183676.23,0,489062.43,62017.51,427044.92,11974.75,0,11974.75,0,0,684713.41,285896.04,112362.01,11897.48,70164.71,14148.08,59756.28,,32826.14,145.68,587196.4,920.94,0,-211.49,-1.57,0,-374.45,333.43,97850.44,1051.67,96798.77,0,0,0,96798.77,0,20007,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,16087,I,3,3,2023,1,20231,20231Atlas Air Inc.,#N/A,#N/A,#N/A,#N/A,#N/A
-47924.59,-48022.86,21073.43,0,,0,29845.23,,16418.6,0,,0,40.35,0,0,67377.61,32724.82,6492.84,0,0,0,0,74944.39,1238.42,0,115400.47,-64.18,0,0,0,0,162.45,98.27,-47924.59,0,-47924.59,0,0,0,,0,22080,MX,Breeze Aviation Group DBA  Breeze,MX,Breeze Aviation Group DBA  Breeze,1268,D,1,1,2023,1,20231,20231Breeze Aviation Group DBA  Breeze,#N/A,#N/A,#N/A,#N/A,#N/A
1702.6,1763.32,0,0,,0,0,,4628.22,0,,0,262.56,0,154.95,5045.73,1760.96,423.65,100.8,571.78,1.45,339.04,0,84.71,0,3282.4,0,0,0,0,0,-60.72,-60.72,1702.6,0,1702.6,0,0,0,,0,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic ",16076,I,1,1,2023,1,20231,"20231Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",#N/A,#N/A,#N/A,#N/A,#N/A
4845.87,5018.69,0,0,,0,0,,13172.61,0,,0,747.29,0,441,14360.91,5011.97,1205.79,286.89,1627.39,4.13,964.96,0,241.09,0,9342.22,0,0,0,0,0,-172.82,-172.82,4845.87,0,4845.87,0,0,0,,0,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic ",6076,D,1,1,2023,1,20231,"20231Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",#N/A,#N/A,#N/A,#N/A,#N/A
0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,20445,C5,CommuteAir LLC dba CommuteAir,C5,CommuteAir LLC dba CommuteAir,11059,L,2,2,2023,1,20231,20231CommuteAir LLC dba CommuteAir,#N/A,#N/A,#N/A,#N/A,#N/A
1306.84,1541.75,67025.81,0,,0,0,,0,0,,0,0,0,0,67025.81,23067.84,29716.46,2442.19,2774.8,72.62,6704.61,0,705.54,0,65484.06,0,-588.17,0,0,11.82,349.08,-227.27,1314.48,7.64,1306.84,0,0,0,,0,20445,C5,CommuteAir LLC dba CommuteAir,C5,CommuteAir LLC dba CommuteAir,6944,D,2,2,2023,1,20231,20231CommuteAir LLC dba CommuteAir,#N/A,#N/A,#N/A,#N/A,#N/A
2371.35,2739.93,-26.28,0,,-113.91,0.75,,7956.2,0,,852.93,0,0,-27.69,8641.99,1188.69,1378.59,240.31,3179.43,135.64,-3124.2,156.12,1850.92,896.55,5902.06,-368.59,0,0,0,0,0,-368.59,2371.35,0,2371.35,0,0,0,,0,21492,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",11019,I,1,1,2023,1,20231,"20231Eastern Airlines f/k/a Dynamic Airways, LLC",#N/A,#N/A,#N/A,#N/A,#N/A
7376.12,3346.83,0,0,,0,0,,12963.12,0,,0,0,0,0,12963.12,1936.75,2246.15,391.55,5180.29,221,-5090.3,254.37,3015.73,1460.76,9616.29,-600.54,0,0,0,0,4629.82,4029.28,7376.12,0,7376.12,0,0,0,,0,21492,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",1159,D,1,1,2023,1,20231,"20231Eastern Airlines f/k/a Dynamic Airways, LLC",#N/A,#N/A,#N/A,#N/A,#N/A
-89175.51,-89330.76,143826.04,0,,0,0,,0,0,,0,0,0,0,143826.04,116882.94,69991.6,25028.93,751.19,0,17392.18,0,3109.96,0,233156.8,-17.98,0,0,0,0,173.23,155.25,-89175.51,0,-89175.51,0,0,0,,0,20363,9E,Endeavor Air Inc.,9E,Endeavor Air Inc.,7024,D,2,2,2023,1,20231,20231Endeavor Air Inc.,#N/A,#N/A,#N/A,#N/A,#N/A
-1085.68,-1087.57,1751.03,0,,0,0,,0,0,,0,0,0,0,1751.03,1423.01,852.12,304.72,9.15,0,211.74,0,37.86,0,2838.61,-0.22,0,0,0,0,2.11,1.89,-1085.68,0,-1085.68,0,0,0,,0,20363,9E,Endeavor Air Inc.,9E,Endeavor Air Inc.,11027,L,2,2,2023,1,20231,20231Endeavor Air Inc.,#N/A,#N/A,#N/A,#N/A,#N/A
42.2,15.6,12988.38,0,,0,0,,0,0,,0,2.46,,1.07,12991.91,4846.05,2292.06,554.29,3194.93,12.21,1949.05,0,127.61,0.12,12976.31,0,0,0.1,0,0,39.89,39.99,55.59,13.39,42.2,0,0,0,,0,20398,MQ,Envoy Air,MQ,Envoy Air,16820,L,3,3,2023,1,20231,20231Envoy Air,#N/A,#N/A,#N/A,#N/A,#N/A
1399.32,517.17,430699.6,0,,0,0,,0,0,,0,81.53,,35.62,430816.76,160696.83,76005.51,18380.4,105945.2,404.92,64631.34,0,4231.59,3.81,430299.59,0,0,3.39,0,0,1322.66,1326.05,1843.22,443.9,1399.32,0,0,0,,0,20398,MQ,Envoy Air,MQ,Envoy Air,6820,D,3,3,2023,1,20231,20231Envoy Air,#N/A,#N/A,#N/A,#N/A,#N/A
-298791,-618862,,0,,392682,,,,14689,,,19094,,1534404,1960869,241036,152447,,189521,29102,151055,,66689,1749881,2579731,12921,3033,1020,0,,227880,244854,-374008,-75217,-298791,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2023,1,20231,20231Federal Express Corporation,#N/A,#N/A,#N/A,#N/A,#N/A
-113386,-208492,,0,,806991,,,,504,,,2978,,505583,1316056,392789,99384,,191639,29895,174687,,79880,556274,1524548,2,2799,941,0,,12532,16274,-192218,-78832,-113386,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16197,P,3,3,2023,1,20231,20231Federal Express Corporation,#N/A,#N/A,#N/A,#N/A,#N/A
-74171,-80155,,0,,147027,,,,621,,,17170,,177559,342377,65281,12668,,89468,19516,45328,,16275,173996,422532,405,854,287,0,,-34079,-32533,-112688,-38517,-74171,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16195,L,3,3,2023,1,20231,20231Federal Express Corporation,#N/A,#N/A,#N/A,#N/A,#N/A
924309,1309203,,0,,3104719,,,,1050,,,55805,,3515942,6677516,952412,435584,,440346,16350,453406,,235432,2834783,5368313,47,11800,,0,,-136270,-124423,1184780,260471,924309,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,6200,D,3,3,2023,1,20231,20231Federal Express Corporation,#N/A,#N/A,#N/A,#N/A,#N/A
-13019.37,-24518.16,474549.02,0,,0,204338.62,,0,0,,62649.22,24754.83,0,14416.79,780708.48,518505.18,58923.58,42978.21,117713.2,41244.47,15074.06,0,10787.94,0,805226.64,-3995.41,11527.89,0,0,0,0,7532.48,-16985.69,-3966.32,-13019.37,0,0,0,,0,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,6460,D,3,3,2023,1,20231,20231Frontier Airlines Inc.,#N/A,#N/A,#N/A,#N/A,#N/A
19.24,-482.88,42020.67,0,,0,17099.8,,0,0,,5242.71,2071.56,0,1206.44,67641.18,43969.85,4280.76,3609.21,10735.23,3602.6,1259.29,0,667.11,0,68124.07,-401.89,909.88,0,0,0,0,507.98,25.1,5.86,19.24,0,0,0,,0,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,16461,L,3,3,2023,1,20231,20231Frontier Airlines Inc.,#N/A,#N/A,#N/A,#N/A,#N/A
-6071.7,-5644.97,0,0,,0,0,,31202.32,948.23,,0,0,0,0,32150.55,23616.66,3747.31,,,,,6359.76,443.14,3628.65,37795.52,0,-541.72,-2.49,0,0,117.47,-426.74,-6071.7,0,-6071.7,0,0,0,,0,22085,GCA,"Global Crossing Airlines, Inc.",GCA,"Global Crossing Airlines, Inc.",1227,S,1,1,2023,1,20231,"20231Global Crossing Airlines, Inc.",#N/A,#N/A,#N/A,#N/A,#N/A
1685.24,1863.32,55216.92,0,,0,0,,0,0,,0,0,0,1860.03,57076.95,33260.33,12849.96,2413.99,3063.29,0,3461.79,0,164.27,0,55213.63,-389.01,0,0,0,0,210.93,-178.08,1685.24,0,1685.24,0,0,0,,0,20500,G7,GoJet Airlines LLC d/b/a United Express,G7,GoJet Airlines LLC d/b/a United Express,7041,D,2,2,2023,1,20231,20231GoJet Airlines LLC d/b/a United Express,#N/A,#N/A,#N/A,#N/A,#N/A
978.08,1460.78,0,0,,0,0,,0,9128.09,,0,0,0,0,9128.09,5454.29,679.34,0,0,0,0,1363.8,169.88,0,7667.31,0,-54.69,0,0,0,77.57,22.89,1483.66,505.59,978.08,0,0,0,,0,20166,GFQ,Gulf And Caribbean Cargo,GFQ,Gulf And Caribbean Cargo,16565,I,1,1,2023,1,20231,20231Gulf And Caribbean Cargo,#N/A,#N/A,#N/A,#N/A,#N/A
1449.88,2016.52,0,0,,0,0,,0,10715.58,,0,301.7,0,0,11017.28,6402.86,797.49,0,0,0,0,1600.99,199.43,0,9000.76,0,-64.2,0,0,0,91.06,26.87,2043.39,593.51,1449.88,0,0,0,,0,20166,GFQ,Gulf And Caribbean Cargo,GFQ,Gulf And Caribbean Cargo,6565,D,1,1,2023,1,20231,20231Gulf And Caribbean Cargo,#N/A,#N/A,#N/A,#N/A,#N/A
-125149.82,-140771.45,418162.93,116.22,,17969,14724.88,,709.12,0,,112.95,4316.75,0,29117.45,485229.31,280242.99,71094.81,59019.52,101499.23,32256.3,50570.9,,29511.6,1805.41,626000.76,-16057.13,-556.91,2360.61,857.79,11.21,7619.62,-5764.8,-146536.26,-21386.44,-125149.82,0,0,0,,0,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,5375,D,3,3,2023,1,20231,20231Hawaiian Airlines Inc.,#N/A,#N/A,#N/A,#N/A,#N/A
17947.91,13426.49,103592.08,4.88,,8658.44,4260.23,,298.93,0,,32.68,1248.93,0,8424.32,126520.48,37236.69,7066.78,15573.31,22500.05,11398.09,14627.9,,4192.47,498.69,113093.98,-4645.61,-161.13,682.98,249.85,3.24,2204.53,-1666.15,11760.35,-6187.56,17947.91,0,0,0,,0,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,15375,P,3,3,2023,1,20231,20231Hawaiian Airlines Inc.,#N/A,#N/A,#N/A,#N/A,#N/A
-1128.8,-1157.5,0,0,,0,0,,9607.78,0,,0,364.87,0,0,9972.65,9282.36,799.32,0,0,0,0,1019.5,28.97,0,11130.14,0,0,0,0,0,28.69,28.69,-1128.8,0,-1128.8,0,0,0,,0,21875,37Q,"Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC",37Q,"Hillwood Airways, LLC  f/k/a   ATX Air Services, L",1225,S,1,1,2023,1,20231,"20231Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC",#N/A,#N/A,#N/A,#N/A,#N/A
-11376,-6674,77853,0,,0,0,,0,0,,0,77,0,0,77930,26273,21501,5454,6597,0,14314,0,10465,0,84605,-3672,-4664,0,768,0,100,-7469,-14143,-2767,-11376,0,0,0,,0,19687,QX,Horizon Air,QX,Horizon Air,6580,D,2,2,2023,1,20231,20231Horizon Air,#N/A,#N/A,#N/A,#N/A,#N/A
0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,19687,QX,Horizon Air,QX,Horizon Air,11023,L,2,2,2023,1,20231,20231Horizon Air,#N/A,#N/A,#N/A,#N/A,#N/A
1036.94,1036.94,0,0,,0,0,,78.98,0,,0,0,0,2798.79,2877.77,0,0,0,0,0,0,79.4,0,1761.43,1840.83,0,0,0,0,0,0,0,1036.94,0,1036.94,0,0,0,,0,21652,27Q,"Jet Aviation Flight Services, Inc.",27Q,"Jet Aviation Flight Services, Inc.",11046,I,1,1,2023,1,20231,"20231Jet Aviation Flight Services, Inc.",#N/A,#N/A,#N/A,#N/A,#N/A
6959.24,6959.24,0,0,,0,0,,432.77,0,,0,0,0,25575.79,26008.57,0,0,0,0,0,0,580.49,0,18468.84,19049.32,0,0,0,0,0,0,0,6959.24,0,6959.24,0,0,0,,0,21652,27Q,"Jet Aviation Flight Services, Inc.",27Q,"Jet Aviation Flight Services, Inc.",1194,D,1,1,2023,1,20231,"20231Jet Aviation Flight Services, Inc.",#N/A,#N/A,#N/A,#N/A,#N/A
-233930.65,-295070.82,1464226.29,0,,101.75,104368.02,,224.13,0,,10284.49,4639.21,0,104844.29,1688688.19,995554.51,191554.6,156726.15,320424.18,92466.13,109021.26,,117395.65,616.53,1983759.01,-35081,3599.05,1313.58,690.49,2707.83,-3087.7,-29857.75,-324928.57,-90997.92,-233930.65,0,0,0,0,0,20409,B6,JetBlue Airways,B6,JetBlue Airways,6673,D,3,3,2023,1,20231,20231JetBlue Airways,#N/A,#N/A,#N/A,#N/A,#N/A
11022.58,16221.16,58609.69,0,,1.58,1624.84,,0,0,,160.11,72.23,0,1632.26,62100.71,19319.93,2566.7,5454.48,9850.34,3057.52,3540.92,,2069.24,20.41,45879.56,-1172.68,119.15,43.49,38.24,5.91,55.06,-910.84,15310.31,4287.73,11022.58,0,0,0,0,0,20409,B6,JetBlue Airways,B6,JetBlue Airways,10875,A,3,3,2023,1,20231,20231JetBlue Airways,#N/A,#N/A,#N/A,#N/A,#N/A
